	0	1	2	3	4	5	6
141	142	пробирки 15 мл	INIT_BASE_CODE_OLIGO_LAB_0000058	3.0	2024-06-06	09:25:08	1783121115
142	143	Пробирки 50мл 	INIT_BASE_CODE_OLIGO_LAB_0000077	2.0	2024-06-06	09:25:57	1783121115
143	144	ацетон. чда	INIT_BASE_CODE_OLIGO_LAB_0000006	1.0	2024-06-06	12:07:09	1783121115
144	145	PR4-001. 2`-O-4`-C-Locked-T Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000127	0.1	2024-06-06	17:50:10	1848570232
145	146	DusQ 2 CPG 500	INIT_BASE_CODE_OLIGO_LAB_0000135	0.005	2024-06-06	17:50:10	1848570232
146	147	DusQ 1 CPG 500	INIT_BASE_CODE_OLIGO_LAB_0000137	0.02	2024-06-06	17:50:10	1848570232
147	148	Универсальное CPG тип I, 500A	INIT_BASE_CODE_OLIGO_LAB_0000138	0.075	2024-06-06	17:50:10	1848570232
148	149	Универсальное CPG тип II, 500A	INIT_BASE_CODE_OLIGO_LAB_0000141	0.075	2024-06-06	17:50:35	1848570232
149	150	Метанол. ВЭЖХ	INIT_BASE_CODE_OLIGO_LAB_0000003	1.0	2024-06-06	17:51:39	1848570232
150	151	Метанол. ВЭЖХ	INIT_BASE_CODE_OLIGO_LAB_0000003	1.0	2024-06-11	09:42:49	1783121115
151	152	DMT-dA(Bz)-CE phosphoramidite (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000120	2.0	2024-06-11	11:10:11	1848570232
152	153	DMT-dC(Ac)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000121	2.0	2024-06-11	11:10:11	1848570232
153	154	DMT-dG(dmf)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000122	2.0	2024-06-11	11:10:11	1848570232
154	155	DMT-dT-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000123	2.0	2024-06-11	11:10:11	1848570232
155	156	PR1-002. 2`-O-4`-C-Locked-A(Bz) Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000124	0.4	2024-06-11	11:10:11	1848570232
156	157	PR2-005 2`-O-4`-C-Locked-G(dmf) Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000125	0.3	2024-06-11	11:10:11	1848570232
157	158	PR4-001. 2`-O-4`-C-Locked-T Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000127	0.48	2024-06-11	11:10:11	1848570232
158	159	5’-Fluorescein Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000129	0.1	2024-06-11	11:10:11	1848570232
159	160	Ацетонитрил. ХЧ	INIT_BASE_CODE_OLIGO_LAB_0000001	1.0	2024-06-11	11:16:13	1848570232
160	161	Универсальное CPG тип II, 500A	INIT_BASE_CODE_OLIGO_LAB_0000141	0.02	2024-06-12	09:29:41	1848570232
161	162	DusQ 1 CPG 500	INIT_BASE_CODE_OLIGO_LAB_0000137	0.058	2024-06-12	09:30:23	1848570232
162	163	Банки ПЭТ 50 мл темные	INIT_BASE_CODE_OLIGO_LAB_0000113	4.0	2024-06-12	10:05:08	1783121115
163	164	Крышки для ПЭТ 100 мл черные	INIT_BASE_CODE_OLIGO_LAB_0000115	4.0	2024-06-12	10:05:32	1783121115
